Sample,Run,Specimen,PrimerFwd,PrimerRev,Subject,Timepoint,Replicate,Chain,Type,Comments
WK12H,190816_M05588_0227_000000000-CL8PC,RM5695WK12IGG,P5_seq_BC1,P7_i7_17_IgG,5695,12,1,heavy,gamma,
WK24H,190816_M05588_0227_000000000-CL8PC,RM5695WK24IGG,P5_seq_BC2,P7_i7_18_IgG,5695,24,1,heavy,gamma,
WK48H,190816_M05588_0227_000000000-CL8PC,RM5695WK48IGG,P5_seq_BC3,P7_i7_19_IgG,5695,48,1,heavy,gamma,
WK12L,190816_M00281_0522_000000000-CL9YN,RM5695WK12IGG,P5_seq_BC1,P7_i7_12_IgL,5695,12,1,light,,
WK24L,190816_M00281_0522_000000000-CL9YN,RM5695WK24IGG,P5_seq_BC2,P7_i7_13_IgL,5695,24,1,light,,
WK48L,190816_M00281_0522_000000000-CL9YN,RM5695WK48IGG,P5_seq_BC3,P7_i7_14_IgL,5695,48,1,light,,
WK12H,190903_M05588_0232_000000000-CLL8M,RM5695WK12IGG,P5_seq_BC1,P7_i7_17_IgG,5695,12,1,heavy,gamma,
WK24H,190903_M05588_0232_000000000-CLL8M,RM5695WK24IGG,P5_seq_BC2,P7_i7_18_IgG,5695,24,1,heavy,gamma,
WK48H,190903_M05588_0232_000000000-CLL8M,RM5695WK48IGG,P5_seq_BC3,P7_i7_19_IgG,5695,48,1,heavy,gamma,
WK12L,190827_M00281_0525_000000000-CL479,RM5695WK12IGG,P5_seq_BC1,P7_i7_12_IgL,5695,12,1,light,,
WK24L,190827_M00281_0525_000000000-CL479,RM5695WK24IGG,P5_seq_BC2,P7_i7_13_IgL,5695,24,1,light,,
WK48L,190827_M00281_0525_000000000-CL479,RM5695WK48IGG,P5_seq_BC3,P7_i7_14_IgL,5695,48,1,light,,
WK16H,191220_M00281_0569_000000000-CN8J9,RM5695WK16IGG,P5_seq_BC1,P7_i7_17_IgG,5695,16,1,heavy,gamma,
WK56H,191220_M00281_0569_000000000-CN8J9,RM5695WK56IGG,P5_seq_BC2,P7_i7_18_IgG,5695,56,1,heavy,gamma,
WK65H,191220_M00281_0569_000000000-CN8J9,RM5695WK65IGG,P5_seq_BC3,P7_i7_19_IgG,5695,65,1,heavy,gamma,
RM6561WK88H,191220_M05588_0264_000000000-CN8JR,RM6561WK88IGM,P5_seq_BC1,P7_i7_16_IgM,6561,88,1,heavy,gamma,for IgDiscover: 6561 wk88 IgM
WK16L,191220_M00281_0569_000000000-CN8J9,RM5695WK16IGG,P5_seq_BC4,P7_i7_12_IgL,5695,16,1,light,lambda,
WK56L,191220_M00281_0569_000000000-CN8J9,RM5695WK56IGG,P5_seq_BC5,P7_i7_13_IgL,5695,56,1,light,lambda,
WK65L,191220_M05588_0264_000000000-CN8JR,RM5695WK65IGG,P5_seq_BC5,P7_i7_14_IgL,5695,65,1,light,lambda,
RM6561WK88L,191220_M05588_0264_000000000-CN8JR,RM6561WK88IGM,P5_seq_BC4,P7_i7_15_IgL,6561,88,1,light,lambda,for IgDiscover: 6561 wk88 IgM
WK16H2,191220_M05588_0264_000000000-CN8JR,RM5695WK16IGG,P5_seq_BC2,P7_i7_19_IgG,5695,16,2,heavy,gamma,5695 wk16 IgG 2.0
WK56H2,191220_M05588_0264_000000000-CN8JR,RM5695WK56IGG,P5_seq_BC3,P7_i7_20_IgG,5695,56,2,heavy,gamma,5695 wk56 IgG 2.0
